player_name,shots,actual_makes,expected_makes,actual_fg_pct,expected_fg_pct,makes_above_expected,fg_pct_above_expected
chase budinger,199,74,83.5163,0.37185929648241206,0.41967988,-9.51629638671875,-0.047820583659799853
alex len,299,158,167.89857,0.5284280936454849,0.5615337,-9.898574829101562,-0.033105595853416436
andre roberson,168,77,86.94742,0.4583333333333333,0.51754415,-9.947418212890625,-0.05921081701914471
boris diaw,437,194,204.2268,0.4439359267734554,0.46733823,-10.226806640625,-0.023402307412717094
marreese speights,498,246,256.3338,0.4939759036144578,0.5147265,-10.33380126953125,-0.02075061597019795
derrick williams,286,128,138.39041,0.44755244755244755,0.48388255,-10.390411376953125,-0.03633009887241817
anthony bennett,274,114,124.41065,0.41605839416058393,0.45405346,-10.410652160644531,-0.03799506739108233
kris humphries,397,188,198.44481,0.473551637279597,0.49986097,-10.444808959960938,-0.02630933488646442
timofey mozgov,428,233,244.26498,0.544392523364486,0.57071257,-11.264984130859375,-0.026320043011246463
enes kanter,639,318,329.4259,0.49765258215962443,0.5155335,-11.4259033203125,-0.01788092471064534
deron williams,515,201,212.88828,0.39029126213592236,0.4133753,-11.888275146484375,-0.023084026112139777
james ennis,159,61,72.92329,0.3836477987421384,0.45863703,-11.923286437988281,-0.07498923019043302
kentavious caldwell-pope,683,272,284.36935,0.39824304538799415,0.41635337,-12.369354248046875,-0.018110329331625596
bojan bogdanovic,360,151,163.38956,0.41944444444444445,0.45385987,-12.389556884765625,-0.03441542122099134
glen davis,177,85,97.42392,0.480225988700565,0.5504176,-12.423919677734375,-0.07019161336166035
trey burke,783,294,306.58047,0.37547892720306514,0.39154595,-12.580474853515625,-0.016067024163359422
jon leuer,257,114,126.90883,0.44357976653696496,0.4938087,-12.908828735351562,-0.05022892019628089
bradley beal,583,243,256.17502,0.41680960548885077,0.43940827,-13.175018310546875,-0.022598667015955753
spencer hawes,332,137,150.2165,0.4126506024096386,0.45245937,-13.216506958007812,-0.03980876271983225
kj mcdaniels,416,165,178.73775,0.39663461538461536,0.42965806,-13.737747192382812,-0.033023439920865594
nikola mirotic,361,145,158.90608,0.40166204986149584,0.44018304,-13.906082153320312,-0.038520993618423593
kirk hinrich,314,113,127.25006,0.35987261146496813,0.40525496,-14.25006103515625,-0.0453823485951515
norris cole,365,145,159.48529,0.3972602739726027,0.436946,-14.48529052734375,-0.039685730656532414
zach randolph,671,328,343.3235,0.488822652757079,0.51165944,-15.323486328125,-0.022836790621369507
kevin love,770,332,347.41464,0.43116883116883115,0.45118785,-15.414642333984375,-0.02001901787596866
cody zeller,355,165,180.64822,0.4647887323943662,0.5088682,-15.648223876953125,-0.04407948507389553
michael carter-williams,657,253,268.91248,0.3850837138508371,0.4093036,-15.9124755859375,-0.02421989170565092
derrick rose,774,315,331.13425,0.4069767441860465,0.42782202,-16.134246826171875,-0.0208452794440957
vince carter,283,94,110.18022,0.3321554770318021,0.3893294,-16.180221557617188,-0.05717392660703763
greg monroe,712,350,366.45126,0.49157303370786515,0.5146787,-16.451263427734375,-0.02310568295168075
nick collison,212,86,102.50941,0.4056603773584906,0.48353493,-16.50940704345703,-0.07787455477804506
dante exum,285,98,114.512146,0.34385964912280703,0.401797,-16.51214599609375,-0.05793734747066831
eric bledsoe,774,352,368.59262,0.45478036175710596,0.47621787,-16.592620849609375,-0.021437504186802736
thabo sefolosha,203,86,102.69614,0.4236453201970443,0.5058923,-16.696136474609375,-0.0822469565668717
kendrick perkins,194,85,102.03339,0.4381443298969072,0.5259453,-17.03338623046875,-0.08780097592737257
brandon jennings,543,218,235.20187,0.4014732965009208,0.43315262,-17.201873779296875,-0.03167931952309655
luc mbah a moute,491,201,218.68979,0.4093686354378819,0.44539672,-17.689788818359375,-0.03602808592518575
shawn marion,229,103,120.904495,0.4497816593886463,0.5279672,-17.904495239257812,-0.0781855551957043
kenneth faried,512,252,270.03168,0.4921875,0.5274056,-18.03167724609375,-0.035218119621276855
jj hickson,333,160,178.63654,0.4804804804804805,0.53644603,-18.63653564453125,-0.0559655544278142
pero antic,222,79,97.78698,0.35585585585585583,0.4404819,-18.78697967529297,-0.08462604531296741
patrick beverley,456,174,193.45506,0.3815789473684211,0.42424357,-19.455062866210938,-0.0426646220056634
paul millsap,754,358,377.7525,0.47480106100795755,0.500998,-19.75250244140625,-0.026196959164161593
kostas papanikolaou,187,65,84.82969,0.34759358288770054,0.4536347,-19.829689025878906,-0.10604112623209622
nicolas batum,450,175,195.19469,0.3888888888888889,0.43376598,-20.194686889648438,-0.044877088732189596
al farouq aminu,258,111,131.50081,0.43023255813953487,0.5096931,-20.500808715820312,-0.07946052800777348
demarcus cousins,788,366,386.72345,0.46446700507614214,0.4907658,-20.72344970703125,-0.026298804936675246
evan turner,499,201,221.92828,0.4028056112224449,0.44474605,-20.92828369140625,-0.04194043603593217
ramon sessions,219,72,92.97989,0.3287671232876712,0.4245657,-20.979888916015625,-0.09579857938910186
jusuf nurkic,294,130,151.2764,0.4421768707482993,0.51454556,-21.276397705078125,-0.07236868913481836
solomon hill,479,189,210.40692,0.3945720250521921,0.4392629,-21.40692138671875,-0.044690871724007264
russell westbrook,969,422,446.02423,0.43550051599587203,0.46029332,-24.02423095703125,-0.024792806805717937
lance stephenson,436,159,184.64151,0.3646788990825688,0.4234897,-25.641510009765625,-0.058810790744396546
zaza pachulia,350,151,177.42093,0.43142857142857144,0.50691694,-26.420928955078125,-0.07548836878367832
elfrid payton,480,198,226.65169,0.4125,0.472191,-28.651687622070312,-0.05969100594520571
nerles noel,444,197,226.01047,0.4436936936936937,0.5090326,-29.010467529296875,-0.06533891338485853
draymond green,552,242,271.40564,0.4384057971014493,0.4916769,-29.4056396484375,-0.05327109970908234
joakim noah,340,149,180.45123,0.43823529411764706,0.53073895,-31.45123291015625,-0.09250365565804874
omer asik,300,152,186.46683,0.5066666666666667,0.6215561,-34.466827392578125,-0.114889436562856
andre drummond,665,338,372.81915,0.5082706766917293,0.5606303,-34.81915283203125,-0.05235964481095623
tyreke evans,914,396,433.04605,0.43326039387308535,0.47379217,-37.046051025390625,-0.04053177164472166
tony allen,358,172,210.68259,0.48044692737430167,0.58849883,-38.682586669921875,-0.10805190342098642
trevor ariza,683,259,302.58395,0.37920937042459735,0.4430219,-43.583953857421875,-0.06381252307668439
