player_name,shots,avg_shot_dist,avg_def_dist,avg_touch_time,avg_dribbles,three_rate,makes_above_expected,cluster,archetype
tony snell,229,17.10524017467249,4.925327510917031,1.6991266375545853,0.9956331877729258,0.537117903930131,8.555648803710938,2,Catch-and-Shoot Specialists
damjan rudez,195,20.647179487179486,5.371282051282051,1.2794871794871794,0.4717948717948718,0.6307692307692307,7.986793518066406,2,Catch-and-Shoot Specialists
jason terry,339,20.263126843657815,4.94070796460177,1.9421828908554573,1.2094395280235988,0.7256637168141593,7.461563110351562,2,Catch-and-Shoot Specialists
jonas jerebko,232,15.706034482758621,5.214655172413793,1.3017241379310345,0.45689655172413796,0.4051724137931034,6.550209045410156,2,Catch-and-Shoot Specialists
hollis thompson,344,17.62703488372093,4.829360465116279,1.3438953488372094,0.6656976744186046,0.5465116279069767,6.3885040283203125,2,Catch-and-Shoot Specialists
wesley johnson,472,18.231567796610168,4.79385593220339,1.619915254237288,0.760593220338983,0.3983050847457627,5.8084564208984375,2,Catch-and-Shoot Specialists
shawne williams,238,19.15084033613445,5.636974789915966,1.1092436974789917,0.2647058823529412,0.6260504201680672,5.467201232910156,2,Catch-and-Shoot Specialists
gerald green,630,18.501904761904765,4.374920634920635,2.60015873015873,1.7190476190476192,0.5126984126984127,5.285308837890625,2,Catch-and-Shoot Specialists
pj tucker,408,15.430147058823529,5.103676470588236,1.8232843137254902,1.0196078431372548,0.4583333333333333,5.2843017578125,2,Catch-and-Shoot Specialists
ben mclemore,582,17.46082474226804,5.1587628865979385,1.69553264604811,0.979381443298969,0.49140893470790376,5.242095947265625,2,Catch-and-Shoot Specialists
jeremy lamb,224,17.51160714285714,4.2526785714285715,2.8160714285714286,2.1830357142857144,0.44642857142857145,5.193046569824219,2,Catch-and-Shoot Specialists
marco belinelli,324,18.014814814814816,4.984876543209876,1.8274691358024693,1.2067901234567902,0.44753086419753085,4.0862579345703125,2,Catch-and-Shoot Specialists
caron butler,290,19.79310344827586,4.731379310344828,1.693103448275862,0.6620689655172414,0.5379310344827586,3.743194580078125,2,Catch-and-Shoot Specialists
danny green,556,18.790107913669065,5.140647482014388,1.4634892086330935,0.7553956834532374,0.6223021582733813,3.3760528564453125,2,Catch-and-Shoot Specialists
robert covington,510,17.62196078431373,4.488235294117647,1.7166666666666666,0.7450980392156863,0.5803921568627451,1.7162628173828125,2,Catch-and-Shoot Specialists
charlie villanueva,241,18.575933609958508,5.135269709543568,1.1282157676348548,0.37344398340248963,0.6224066390041494,1.6653823852539062,2,Catch-and-Shoot Specialists
richard jefferson,237,15.749789029535863,4.379746835443038,1.7856540084388186,0.9071729957805907,0.48945147679324896,0.71270751953125,2,Catch-and-Shoot Specialists
nikola vucevic,902,9.473503325942351,3.7027716186252775,1.7350332594235034,0.7195121951219512,0.0033259423503325942,39.66958618164063,3,Interior Finishers
james johnson,311,7.845337620578778,3.490353697749196,2.637299035369775,1.8617363344051447,0.13183279742765272,31.480789184570312,3,Interior Finishers
anthony davis,841,10.40653983353151,3.7392390011890604,1.8804994054696789,0.5422116527942925,0.01070154577883472,30.99105834960937,3,Interior Finishers
deandre jordan,393,3.4178117048346057,2.892620865139949,0.7796437659033079,0.15776081424936386,0.007633587786259542,26.760650634765625,3,Interior Finishers
