player_name,shots,fgm,points,expected_makes,fg_pct,efg_pct,expected_fg_pct,shot_quality_adjusted,fg_rank,efg_rank,adjusted_rank,rank_shift_vs_fg,rank_shift_vs_efg
matt bonner,199,79,196,79.728035,0.3969849246231156,0.49246231155778897,0.4006433918248469,-0.003658467201731297,225.0,138.0,141.0,84.0,-3.0
cj miles,560,214,523,218.016,0.3821428571428571,0.4669642857142857,0.3893142972673689,-0.007171440124511763,242.0,202.0,159.0,83.0,43.0
gerald henderson,563,246,523,233.99614,0.4369449378330373,0.4644760213143872,0.4156236936525172,0.02132124418052006,152.0,210.0,69.0,83.0,141.0
marcus morris,537,242,571,223.82207,0.4506517690875233,0.5316573556797021,0.4168008701317359,0.03385089895578741,113.0,58.0,33.0,80.0,25.0
luke babbitt,156,73,198,62.23807,0.46794871794871795,0.6346153846153846,0.39896199642083585,0.0689867215278821,85.0,4.0,5.0,80.0,-1.0
dirk nowtizski,816,377,828,342.86636,0.46200980392156865,0.5073529411764706,0.4201793670654297,0.041830436856138964,99.0,90.0,20.0,79.0,70.0
rudy gay,879,392,841,368.05582,0.4459613196814562,0.47838452787258245,0.4187210655863375,0.02724025409511871,133.0,184.0,55.0,78.0,129.0
tony snell,229,105,260,96.44435,0.4585152838427948,0.5676855895196506,0.42115437203619677,0.03736091180659801,106.0,17.0,29.0,77.0,-12.0
wesley matthews,748,336,845,314.36853,0.44919786096256686,0.5648395721925134,0.42027878378801803,0.028919077174548835,123.0,19.0,46.0,77.0,-27.0
charlie villanueva,241,102,262,100.33462,0.42323651452282157,0.5435684647302904,0.41632621416907095,0.00691030035375062,178.0,44.0,102.0,76.0,-58.0
chris bosh,745,343,749,314.12637,0.4604026845637584,0.5026845637583892,0.42164613864565853,0.03875654591809985,103.0,101.0,28.0,75.0,73.0
cj watson,301,128,303,125.75469,0.42524916943521596,0.5033222591362126,0.41778967467653394,0.007459494758682017,174.0,100.0,100.0,74.0,0.0
jon ingles,220,90,221,90.03624,0.4090909090909091,0.5022727272727273,0.409255634654652,-0.0001647255637428624,204.0,104.0,130.0,74.0,-26.0
paul pierce,527,240,571,223.18791,0.45540796963946867,0.5417457305502846,0.4235064743592119,0.031901495280256764,109.0,46.0,37.0,72.0,9.0
reggie jackson,659,277,601,274.2246,0.4203338391502276,0.4559939301972686,0.4161223207511381,0.004211518399089509,181.0,224.0,112.0,69.0,112.0
